mq2_ppm,mq7_ppm,mq135_ppm,mq303_ppm,mq136_ppm,temperature_c,humidity_pct,gas_class,notes
8.99,5.56,5.35,0.057358,0.16141,29.04,63.36,MERCURY,Simulated literature-based profile
9.22,6.84,7.92,0.049491,0.172869,27.61,67.77,MERCURY,Simulated literature-based profile
7.77,4.89,7.52,0.040458,0.240046,28.66,66.4,MERCURY,Simulated literature-based profile
7.53,6.81,6.93,0.041558,0.157801,28.48,66.44,MERCURY,Simulated literature-based profile
9.85,5.08,5.27,0.04807,0.227243,29.98,65.96,MERCURY,Simulated literature-based profile
6.14,5.38,7.45,0.047889,0.222811,27.94,63.36,MERCURY,Simulated literature-based profile
7.99,5.22,6.67,0.056521,0.180699,29.28,66.83,MERCURY,Simulated literature-based profile
7.69,5.93,5.2,0.049226,0.157059,29.5,66.92,MERCURY,Simulated literature-based profile
6.51,5.63,6.67,0.059594,0.157274,29.73,67.55,MERCURY,Simulated literature-based profile
7.62,6.94,7.16,0.044564,0.190787,27.71,63.74,MERCURY,Simulated literature-based profile
9.38,6.64,5.41,0.053848,0.249948,28.79,64.32,MERCURY,Simulated literature-based profile
8.97,5.06,5.31,0.055137,0.20158,28.51,65.49,MERCURY,Simulated literature-based profile
8.59,6.59,5.41,0.041305,0.246199,28.97,65.94,MERCURY,Simulated literature-based profile
8.38,4.26,5.86,0.056286,0.24305,29.16,67.65,MERCURY,Simulated literature-based profile
9.79,8.45,8.89,0.005709,4.33,28.09,68.75,H2S,Simulated literature-based profile
10.74,6.4,10.25,0.003989,3.29,29.17,67.52,H2S,Simulated literature-based profile
10.98,6.32,8.69,0.003751,4.29,30.34,69.61,H2S,Simulated literature-based profile
10.81,5.39,9.32,0.004435,3.0,30.71,67.72,H2S,Simulated literature-based profile
11.92,8.53,8.85,0.005629,4.3,29.68,68.34,H2S,Simulated literature-based profile
10.2,5.02,7.48,0.005032,4.01,28.15,66.97,H2S,Simulated literature-based profile
10.74,6.69,7.23,0.003897,3.03,29.15,67.53,H2S,Simulated literature-based profile
10.61,8.72,8.57,0.00595,3.92,31.65,69.51,H2S,Simulated literature-based profile
10.11,6.31,7.95,0.005535,3.79,31.17,66.44,H2S,Simulated literature-based profile
8.07,7.22,8.1,0.005675,4.44,30.01,69.09,H2S,Simulated literature-based profile
11.75,7.67,8.12,0.004731,3.34,30.75,65.28,H2S,Simulated literature-based profile
10.08,6.96,7.82,0.005544,3.76,28.66,65.65,H2S,Simulated literature-based profile
8.54,7.04,7.93,0.003664,3.77,29.11,67.88,H2S,Simulated literature-based profile
10.59,6.93,9.2,0.005925,3.3,31.92,65.35,H2S,Simulated literature-based profile
10.26,5.89,9.44,0.004116,3.34,29.22,67.23,H2S,Simulated literature-based profile
10.33,6.22,10.02,0.004218,4.0,29.3,68.18,H2S,Simulated literature-based profile
10.78,5.02,10.83,0.004586,4.49,29.11,65.83,H2S,Simulated literature-based profile
11.89,6.49,8.25,0.004832,3.44,28.56,67.46,H2S,Simulated literature-based profile
9.52,7.04,10.56,0.004567,3.21,30.29,66.42,H2S,Simulated literature-based profile
8.79,7.75,8.53,0.0047,4.48,30.56,66.94,H2S,Simulated literature-based profile
8.34,7.72,9.21,0.00466,3.52,30.04,68.27,H2S,Simulated literature-based profile
9.44,7.67,10.91,0.004105,3.27,29.05,68.11,H2S,Simulated literature-based profile
9.85,7.59,8.51,0.004352,4.34,29.63,66.63,H2S,Simulated literature-based profile
10.4,7.68,9.77,0.005454,3.52,31.39,68.63,H2S,Simulated literature-based profile
10.83,7.42,7.46,0.003747,3.33,29.14,66.26,H2S,Simulated literature-based profile
10.99,6.81,7.93,0.005779,3.33,29.89,69.25,H2S,Simulated literature-based profile
9.92,6.31,7.83,0.003936,4.46,31.74,67.2,H2S,Simulated literature-based profile
9.24,5.5,10.17,0.004379,4.48,29.27,66.59,H2S,Simulated literature-based profile
10.44,7.63,9.2,0.004321,3.98,28.3,66.85,H2S,Simulated literature-based profile
8.53,8.22,8.75,0.0042,3.32,30.1,68.58,H2S,Simulated literature-based profile
3.58,1.95,2.36,0.0017,0.092835,27.61,64.19,CLEAN,Simulated literature-based profile
3.14,1.8,2.53,0.000511,0.079408,27.9,63.86,CLEAN,Simulated literature-based profile
3.09,1.32,2.61,0.001063,0.06859,26.69,62.26,CLEAN,Simulated literature-based profile
2.68,1.72,2.38,0.001065,0.102811,25.01,60.25,CLEAN,Simulated literature-based profile
3.98,1.49,2.78,0.000993,0.082594,27.76,59.06,CLEAN,Simulated literature-based profile
2.11,2.51,3.04,0.000793,0.09414,28.1,60.36,CLEAN,Simulated literature-based profile
3.8,1.75,2.02,0.001018,0.080481,27.98,62.49,CLEAN,Simulated literature-based profile
3.67,1.17,3.3,0.00151,0.088087,25.3,63.67,CLEAN,Simulated literature-based profile
3.04,2.28,2.18,0.001096,0.073839,28.79,63.88,CLEAN,Simulated literature-based profile
3.85,2.75,2.26,0.001341,0.069914,28.43,59.2,CLEAN,Simulated literature-based profile
2.43,2.46,2.11,0.001737,0.079408,26.28,59.76,CLEAN,Simulated literature-based profile
2.7,1.33,3.91,0.000759,0.088336,27.83,58.19,CLEAN,Simulated literature-based profile
2.74,2.85,2.49,0.001563,0.093691,25.27,64.65,CLEAN,Simulated literature-based profile
3.4,1.51,3.93,0.001599,0.102011,26.25,61.81,CLEAN,Simulated literature-based profile
2.06,2.35,2.42,0.001867,0.05502,28.11,60.96,CLEAN,Simulated literature-based profile
2.35,1.31,3.29,0.001531,0.117287,25.09,62.22,CLEAN,Simulated literature-based profile
3.91,2.68,3.39,0.001321,0.100378,26.87,63.57,CLEAN,Simulated literature-based profile
3.39,2.96,2.69,0.001148,0.103623,28.19,58.79,CLEAN,Simulated literature-based profile
2.29,2.71,2.5,0.00092,0.081049,27.74,61.83,CLEAN,Simulated literature-based profile
2.11,1.0,3.09,0.001113,0.064209,27.17,61.34,CLEAN,Simulated literature-based profile
2.05,2.23,2.9,0.000601,0.092674,27.63,59.24,CLEAN,Simulated literature-based profile
3.09,1.7,2.55,0.001986,0.058152,28.94,60.13,CLEAN,Simulated literature-based profile
3.86,2.61,2.67,0.001315,0.082682,25.38,63.54,CLEAN,Simulated literature-based profile
2.8,1.32,2.19,0.001923,0.091175,28.17,61.22,CLEAN,Simulated literature-based profile
2.06,1.01,3.28,0.001066,0.065473,25.83,63.65,CLEAN,Simulated literature-based profile
2.8,1.85,3.82,0.000978,0.112592,25.8,62.08,CLEAN,Simulated literature-based profile
3.59,1.28,2.25,0.001764,0.071172,26.93,61.28,CLEAN,Simulated literature-based profile
2.88,1.51,3.49,0.000661,0.057987,27.02,60.44,CLEAN,Simulated literature-based profile
2.79,2.21,2.02,0.001036,0.086531,26.34,58.82,CLEAN,Simulated literature-based profile
2.63,2.71,3.22,0.000727,0.085992,27.9,60.47,CLEAN,Simulated literature-based profile
27.59696326661378,63.258547319339556,12.749679708943265,0.006031729152422304,2.0535254533517917,34.82913735236744,79.67272323740279,CO+H2S,Li-ion battery burning on PCB board
25.253793299288333,62.453712938087236,11.814211740303174,0.005726856979859524,2.0878014892820413,34.424324919210406,80.01378024573485,CO+H2S,Li-ion battery burning on PCB board
26.2134510088247,63.03984925982145,11.887903789375049,0.006017758521762104,2.105794824424645,34.78332455332904,79.54742618783274,CO+H2S,Li-ion battery burning on PCB board
26.6103742879442,63.03746688899109,11.797760819870003,0.005459122525769727,2.1309383395695547,35.15382006938925,79.36622279454915,CO+H2S,Li-ion battery burning on PCB board
25.98164402645878,63.09372345139109,12.75507436691857,0.0059404743319053915,2.159920432622736,34.85585317102722,78.11159356070598,CO+H2S,Li-ion battery burning on PCB board
27.302360502512585,66.84250506906672,12.098792799626192,0.006068583827929833,2.0839930763058696,35.18994975136491,78.93103945605986,CO+H2S,Li-ion battery burning on PCB board
26.338832075631867,62.46478036608352,12.717023626949898,0.0057470664829762114,1.9752888116636549,34.95213364398584,79.07965327319684,CO+H2S,Li-ion battery burning on PCB board
27.056786443017277,63.41040288893461,11.908254578675173,0.005634616852780218,2.081298953752758,34.393732065348296,78.85487876487969,CO+H2S,Li-ion battery burning on PCB board
27.163722621349933,68.87897140220215,12.205862796358446,0.005936753733466643,1.9862984396234658,34.74190407282482,80.12883765038268,CO+H2S,Li-ion battery burning on PCB board
26.08437333210022,62.29745904398239,12.69692350207113,0.005500476524575749,2.04718981690125,34.967611017803385,78.03430763048743,CO+H2S,Li-ion battery burning on PCB board
27.015916103455698,66.42489012523181,11.854109847835598,0.005782069847249874,2.1204904682054067,34.83572617873601,78.1842091322184,CO+H2S,Li-ion battery burning on PCB board
27.3988935196991,62.29970776426876,13.002261964130732,0.005930875131234633,2.1066435208610286,35.05887859456252,78.66234558119214,CO+H2S,Li-ion battery burning on PCB board
26.87337552483233,62.045826930909186,12.305855968477253,0.005480720446559973,2.2931431339921575,34.97898098414646,78.99587533495747,CO+H2S,Li-ion battery burning on PCB board
25.704823279166654,64.55799249433448,12.466881670650778,0.005907723090750947,2.0045184937201506,34.84270224109973,78.4724354491834,CO+H2S,Li-ion battery burning on PCB board
26.277289670739748,63.73209686015982,12.296758324605298,0.005485895763243452,2.1342373517826063,34.99471328819604,80.3916637027807,CO+H2S,Li-ion battery burning on PCB board
27.51856488868146,65.91573211875547,12.794983700094374,0.006122177207818033,1.9479574930520482,35.0526294073081,78.15793933339212,CO+H2S,Li-ion battery burning on PCB board
26.55752044696698,65.89796024905047,12.34329420333137,0.005680059268819192,2.129299016368423,34.603115920463495,78.51391311515769,CO+H2S,Li-ion battery burning on PCB board
26.286908679269672,65.32615542437377,12.01719253232107,0.005874483546215126,2.1280297488746696,34.754858321007234,78.33352252300267,CO+H2S,Li-ion battery burning on PCB board
29.20269852746697,65.63431130545594,11.832531227974565,0.0052362999176964594,2.0313039157778605,34.676972444626564,79.03626495702741,CO+H2S,Li-ion battery burning on PCB board
28.603806743197097,60.48458077447819,12.323591445952495,0.005763245672147237,2.0651939137833355,34.6176513622661,79.67334613303315,CO+H2S,Li-ion battery burning on PCB board
27.191624758779735,65.04209880634157,12.926464339469096,0.0053835612984013785,2.0821480378475794,34.4324020181583,79.02076520630612,CO+H2S,Li-ion battery burning on PCB board
27.25860346289992,62.28284714657015,12.855957524749325,0.005782420528285358,2.11056548405091,35.128256577103244,78.30641447978891,CO+H2S,Li-ion battery burning on PCB board
27.53400310803763,63.297600018885255,12.288808944734646,0.006013990972751106,2.092273319709224,34.96591242091657,79.94686355030784,CO+H2S,Li-ion battery burning on PCB board
26.27784977741054,67.98432198345283,11.89831050625421,0.00542040671728432,2.055788764834872,35.10422371292434,79.35702933212525,CO+H2S,Li-ion battery burning on PCB board
26.099256335404096,62.87598271838246,12.612423896490217,0.0054129947321624,1.9756812356576872,34.747260796150684,79.09192974063845,CO+H2S,Li-ion battery burning on PCB board
27.25408082615239,66.74624375025708,12.617871991494976,0.005727099138466672,2.2053444864127467,34.65509335366859,79.0281339192955,CO+H2S,Li-ion battery burning on PCB board
27.747238125565286,62.997312426787985,12.652979018241036,0.005948079341045307,2.035330107079655,34.848440604837556,79.01707683517873,CO+H2S,Li-ion battery burning on PCB board
29.175229814658977,61.981168679274205,12.390096894442117,0.005666639195608433,2.020761680054419,34.60060050212351,78.55034472134263,CO+H2S,Li-ion battery burning on PCB board
25.874279458636984,67.20247448611373,12.775450516212496,0.005595131910775342,2.072606510958115,34.96027366352729,79.00432591252365,CO+H2S,Li-ion battery burning on PCB board
26.129678926079343,63.370092356389826,12.349625787141196,0.006005117339435104,2.109131028543127,34.84420329608864,77.95591208221157,CO+H2S,Li-ion battery burning on PCB board
29.12870130971396,67.44104496749138,12.0530964495826,0.005817938723594521,1.9475741574381304,34.99167223808293,78.45410768898512,CO+H2S,Li-ion battery burning on PCB board
28.468934837313142,63.46248778039958,13.025112201201111,0.005228784999545247,2.119169152846405,34.87654449085237,79.05246232982176,CO+H2S,Li-ion battery burning on PCB board
26.363729328264192,61.39005091933646,12.235732875202848,0.005882790171648313,1.9891933153216994,35.21988856623625,78.61991331381866,CO+H2S,Li-ion battery burning on PCB board
26.213020059125533,64.02311187784835,12.02112645287565,0.005489590003278179,2.2011754178685283,35.2070561958712,78.56797792119278,CO+H2S,Li-ion battery burning on PCB board
27.59063426618511,64.15408151756007,13.370642747161607,0.0059128924302393575,2.0089775109892654,34.951975811660205,78.05590173362553,CO+H2S,Li-ion battery burning on PCB board
26.95412465761687,66.57626841355292,12.235287740663544,0.005599852977733669,2.253406194916228,34.682681722184846,78.37769784460347,CO+H2S,Li-ion battery burning on PCB board
26.34082909526988,62.564718972062344,12.054015247305415,0.005434778643751456,2.1482495626663156,34.779671414048636,78.96979015829577,CO+H2S,Li-ion battery burning on PCB board
26.81628724837011,64.94248534554849,11.79210177168694,0.005870926939252092,2.015269561859191,35.016142782443815,78.15543520466596,CO+H2S,Li-ion battery burning on PCB board
26.838397639966022,61.21436367895002,11.997084622969066,0.00577901732682726,2.187649065880299,34.368406956019086,79.49371408997305,CO+H2S,Li-ion battery burning on PCB board
27.598836544485206,63.24422349910642,12.49703454992793,0.0055082046512649595,2.060152964544721,34.86573025778587,79.66993202823764,CO+H2S,Li-ion battery burning on PCB board
27.124596655048318,67.670379437675,12.696499804821348,0.005631629224966062,2.2318631971572227,34.816252206623226,77.56738989775448,CO+H2S,Li-ion battery burning on PCB board
27.746826912986148,59.095861911135756,12.859999742948284,0.005918123069945433,2.090651212462452,34.92665221139978,79.03845009651394,CO+H2S,Li-ion battery burning on PCB board
27.733442796962432,61.78975520015032,12.29551230000079,0.005543878798760728,2.1256286523159353,34.99901955036566,79.49175282313146,CO+H2S,Li-ion battery burning on PCB board
28.075092872524312,66.54598254073922,12.568170484736964,0.006199682840794275,1.9973363000475024,35.030149565066424,77.80392253796452,CO+H2S,Li-ion battery burning on PCB board
27.30186508687683,65.37157537948681,12.523465044039032,0.00565602415927033,2.071671550115618,34.9069651252063,80.42247097346137,CO+H2S,Li-ion battery burning on PCB board
25.330989678899176,66.61775514148806,12.159330549338499,0.005568183313078994,2.202646558508962,34.531037576546034,79.24290383886809,CO+H2S,Li-ion battery burning on PCB board
26.91822686753956,63.007871561536746,11.22295002437539,0.00597766381989228,2.0927143869740474,34.93458001522557,80.19675133258525,CO+H2S,Li-ion battery burning on PCB board
27.20235328158772,63.27795899538401,12.433768972932938,0.00528553809741578,2.172262344855633,34.943830976424366,78.11407177581246,CO+H2S,Li-ion battery burning on PCB board
26.844413645496772,62.95018653007738,11.709808418782865,0.005461597442443139,2.113400844644818,34.89663679669679,79.72155486578725,CO+H2S,Li-ion battery burning on PCB board
26.846478539641254,62.92386515945037,12.64207511246945,0.005853924217226648,1.9933143052978048,35.15218927056885,78.21226612232192,CO+H2S,Li-ion battery burning on PCB board
26.739642549892572,65.49579197394995,12.413810919588173,0.0053876231472644535,2.0639175870919537,34.830642693977396,78.18558618636364,CO+H2S,Li-ion battery burning on PCB board
26.69537263600536,65.71908829152267,12.5778212572577,0.005764951709000653,2.0728597238862867,34.82016799452091,79.23602693061994,CO+H2S,Li-ion battery burning on PCB board
